,state,"Share with Subprime Credit Score, All","Share with Subprime Credit Score, Communities of Color","Share with Subprime Credit Score, Majority White Communities","Share with Any Debt in Collections, All","Share with Any Debt in Collections, Communities of Color","Share with Any Debt in Collections, Majority White Communities","Median Debt in Collections, All","Median Debt in Collections, Communities of Color","Median Debt in Collections, Majority White Communities","Average Credit Card Utilization, All","Average Credit Card Utilization, Communities of Color","Average Credit Card Utilization, Majority White Communities","Student Loan Delinquency Rate (60+), All","Student Loan Delinquency Rate (60+), Communities of Color","Student Loan Delinquency Rate (60+), Majority White Communities","Credit Card Delinquency Rate (30+), All","Credit Card Delinquency Rate (30+), Communities of Color","Credit Card Delinquency Rate (30+), Majority White Communities","Auto/Retail Loan Delinquency Rate (60+), All","Auto/Retail Loan Delinquency Rate (60+), Communities of Color","Auto/Retail Loan Delinquency Rate (60+), Majority White Communities","Mortgage Delinquency Rate (30+), All","Mortgage Delinquency Rate (30+), Communities of Color","Mortgage Delinquency Rate (30+), Majority White Communities","Share with AFS Credit, All","Share with AFS Credit, Communities of Color","Share with AFS Credit, Majority White Communities","AFS Credit Delinquency Rate (30+), All","AFS Credit Delinquency Rate (30+), Communities of Color","AFS Credit Delinquency Rate (30+), Majority White Communities","Median Credit Score, All","Median Credit Score, Communities of Color","Median Credit Score, Majority White Communities","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities","Share with Medical Debt in Collections, All","Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities"
0,AK,25.02,35.15,19.97,27.11,32.68,22.65,2073,1248,2205,35.37,44.28,33.71,17.92,21.95,15.48,5.07,10.06,4.19,2.51,2.26,1.98,2.62,3.19,2.49,4.25,8.3,2.54,35.21,26.56,31.39,690,638.0,712,1255,752,1248,15.15,9.21,13.36
1,AL,33.45,51.47,28.7,38.05,56.75,33.14,1917,1916,1916,32.84,42.32,31.13,20.4,30.11,17.4,7.62,13.0,6.66,7.33,12.11,6.1,4.1,7.38,3.69,8.18,13.15,6.83,18.81,24.56,16.83,665,587.0,676,973,1055,931,19.86,27.47,17.94
2,AR,32.93,52.27,30.24,37.97,58.2,35.07,1671,1847,1650,32.51,42.17,31.49,21.84,34.53,19.69,7.83,15.56,7.22,5.11,11.37,4.39,3.74,7.1,3.53,2.61,3.6,2.43,8.68,7.03,8.11,667,589.0,675,647,611,655,20.51,23.87,19.82
3,AZ,26.45,41.21,18.94,32.4,47.48,24.48,2051,1995,2037,30.06,37.57,26.8,18.37,25.69,14.93,5.99,9.83,4.65,4.51,8.28,2.88,2.4,5.05,1.6,4.67,6.91,3.56,11.26,11.59,11.16,684,630.0,721,938,1008,892,17.52,23.56,13.88
4,CA,20.73,24.98,14.1,23.74,28.08,17.08,1842,1848,1679,27.83,30.0,24.54,15.12,17.78,10.97,5.48,6.82,3.71,3.98,5.16,2.02,2.13,2.74,1.34,4.42,5.44,2.64,16.85,16.74,15.9,704,680.0,736,770,793,716,8.71,9.5,7.51
5,CO,20.41,34.63,16.74,24.61,40.45,20.51,1682,1401,1730,27.83,34.8,26.24,14.03,19.4,12.36,4.57,7.9,3.98,2.7,4.99,2.24,1.79,3.41,1.5,4.08,7.45,3.21,14.77,17.46,13.13,720,659.0,735,770,639,789,13.66,22.49,11.46
6,CT,21.39,40.67,14.96,25.66,44.95,18.95,1625,1505,1656,28.25,39.15,25.64,13.03,21.99,9.88,5.45,11.33,4.04,2.88,6.42,1.98,3.67,6.9,3.2,1.42,2.5,0.99,12.95,13.33,10.85,716,636.0,740,542,558,504,11.87,17.88,9.45
7,DC,26.1,38.1,7.01,28.2,41.02,7.53,1468,1535,966,29.38,36.99,19.89,16.43,22.72,5.05,5.85,9.14,1.96,6.01,7.7,0.77,2.34,3.74,0.69,2.6,3.79,0.43,11.46,13.33,0.0,693,649.0,754,549,570,382,8.59,11.9,2.75
8,DE,26.05,44.13,20.68,31.8,51.09,25.97,1891,1865,1808,29.73,39.28,27.13,16.04,24.94,12.31,6.39,12.08,5.11,4.1,7.2,3.31,3.37,7.63,2.81,5.87,9.83,4.57,11.57,13.27,9.5,690,618.0,717,790,864,744,18.46,30.94,15.13
9,FL,26.81,33.83,21.91,33.14,39.48,28.54,2186,2240,2146,31.66,37.52,27.97,18.69,21.01,16.62,7.2,9.95,5.54,4.37,6.04,3.37,3.41,4.74,2.63,4.52,5.33,3.85,9.11,10.33,8.41,680,658.0,710,1012,1027,996,18.58,20.19,17.03
10,GA,32.71,43.48,26.29,37.7,48.64,31.35,1948,2029,1874,35.09,42.6,31.62,19.42,23.94,15.4,8.33,13.04,6.14,6.57,9.41,4.9,3.94,6.16,3.18,5.61,7.59,4.36,7.87,9.16,7.17,665,621.0,683,942,905,994,19.91,23.2,18.07
11,HI,16.6,16.72,18.85,18.09,18.05,22.13,1999,1946,0,28.47,28.54,31.45,14.2,13.82,0.0,5.18,5.24,6.58,3.67,3.71,1.69,2.24,2.21,0.0,3.98,4.08,3.28,14.84,15.38,0.0,720,719.0,703,376,382,0,6.77,6.72,8.2
12,IA,19.85,46.5,19.1,23.03,42.68,22.21,1647,1646,1685,25.1,33.11,24.81,14.51,0.0,14.22,4.68,11.48,4.57,2.7,0.0,2.63,2.37,0.0,2.24,2.51,1.91,2.42,9.08,0.0,9.09,724,621.0,727,598,0,598,11.77,14.01,11.37
13,ID,19.76,35.94,19.31,22.9,42.19,22.41,2307,0,2324,27.59,0.0,27.44,14.55,0.0,14.36,4.31,0.0,4.2,2.84,0.0,2.72,2.08,0.0,2.05,6.12,7.81,6.04,11.56,0.0,11.27,712,643.0,714,1060,0,1052,13.82,25.0,13.52
14,IL,23.65,41.42,18.12,28.53,46.32,22.95,1547,1532,1601,28.12,38.55,25.53,14.51,23.62,11.6,5.38,10.45,4.21,4.02,7.51,3.09,3.26,5.92,2.81,3.95,6.78,3.1,11.34,12.66,10.26,704,632.0,730,635,625,656,15.12,20.82,13.34
15,IN,27.06,48.12,24.35,31.79,53.46,28.99,1872,1868,1863,29.58,41.11,28.6,18.49,31.22,16.54,5.98,11.83,5.44,3.93,8.64,3.47,3.43,7.32,3.24,5.26,8.53,4.85,8.52,11.57,7.69,682,600.0,695,796,721,813,19.99,31.54,18.58
16,KS,23.49,42.09,20.35,27.88,47.32,24.56,1746,1554,1750,26.9,34.54,25.77,16.09,31.69,14.3,4.63,7.76,4.14,3.02,4.53,2.63,2.25,3.46,2.05,3.7,5.23,3.33,9.23,13.51,7.95,704,633.0,719,845,904,827,17.99,31.21,15.89
17,KY,29.87,63.13,28.38,35.77,69.0,34.3,1342,1168,1348,29.64,43.52,28.99,20.33,36.6,19.72,6.61,18.63,6.29,4.75,12.36,4.56,3.28,6.48,3.16,4.8,7.34,4.62,7.16,11.11,6.95,675,552.0,676,526,573,517,19.79,40.21,19.04
18,LA,35.04,48.68,29.29,42.14,56.17,36.29,1899,1865,1938,33.96,40.89,31.7,20.94,26.04,17.64,7.78,11.75,6.55,6.84,10.39,5.38,4.93,8.01,4.06,6.29,9.05,5.11,18.91,21.95,16.88,660,600.0,675,865,826,906,23.83,28.51,21.71
19,MA,17.2,34.27,13.8,19.41,36.83,16.11,1549,1468,1594,25.81,37.24,24.24,10.71,18.89,9.03,4.89,9.53,4.1,2.6,6.57,2.01,2.49,5.03,2.31,1.43,3.52,1.08,13.32,11.6,14.66,729,654.0,743,384,408,367,4.72,7.07,4.33
20,MD,25.25,34.65,18.87,28.49,38.37,21.79,1569,1684,1463,31.1,37.95,27.45,15.34,19.28,11.83,6.68,9.7,5.08,4.27,6.24,3.0,3.71,5.81,2.85,3.31,4.76,2.42,9.15,10.49,8.19,695,659.0,728,530,570,493,13.71,17.64,11.2
21,ME,21.45,0.0,21.41,28.18,0.0,28.13,1694,0,1706,28.1,0.0,28.09,13.57,0.0,13.47,4.96,0.0,4.95,2.11,0.0,2.13,3.14,0.0,3.14,2.94,0.0,2.96,6.41,0.0,6.46,711,0.0,712,846,0,853,18.76,0.0,18.75
22,MI,24.63,53.49,20.4,29.96,60.67,25.51,1553,1879,1460,28.45,45.22,26.94,17.84,36.16,14.63,5.51,14.36,4.7,3.65,10.36,2.97,2.63,5.85,2.48,3.85,8.62,3.15,9.95,11.62,9.32,703,573.0,720,501,476,510,16.25,25.63,14.73
23,MN,14.14,33.88,12.96,15.12,36.43,13.8,1700,1553,1720,24.61,35.92,24.1,11.18,25.18,10.27,3.77,7.78,3.56,2.06,5.29,1.89,2.04,4.13,1.97,1.97,3.07,1.89,8.44,11.36,8.08,738,655.0,743,415,500,406,2.64,4.99,2.49
24,MO,26.97,55.89,23.52,32.55,62.98,28.91,1948,2118,1913,28.42,41.15,27.28,18.25,31.6,16.36,5.53,12.23,4.96,4.54,11.16,3.88,2.91,7.64,2.58,5.73,11.8,5.0,11.22,13.97,10.6,689,568.0,705,842,992,812,19.35,35.06,17.47
25,MS,36.0,48.76,29.86,39.51,51.85,33.57,1774,1762,1741,36.23,43.05,34.21,22.61,29.47,18.29,10.03,14.9,8.45,8.05,11.62,6.22,5.95,9.43,4.87,7.15,8.83,6.26,17.39,19.59,15.93,653,599.0,671,930,1019,894,19.41,21.82,17.75
26,MT,19.87,50.94,18.62,22.82,55.32,21.51,1837,2480,1816,27.17,41.8,26.77,15.54,40.35,14.77,3.9,9.35,3.82,2.72,8.13,2.53,1.91,0.0,1.86,2.3,4.18,2.19,7.01,0.0,6.98,718,584.0,722,811,1169,792,13.63,28.18,13.02
27,NC,28.4,39.83,24.0,35.67,47.87,30.98,1670,1717,1633,30.74,37.74,28.5,16.64,21.51,13.94,6.81,11.29,5.67,5.08,7.71,4.06,3.42,5.67,2.93,4.95,6.67,4.21,8.21,10.29,7.22,678,638.0,702,750,730,773,22.92,28.88,20.67
28,ND,16.46,37.54,15.81,17.69,44.19,16.86,2158,1933,2175,26.47,41.68,26.23,11.52,0.0,11.28,4.15,9.38,4.05,2.29,10.26,2.09,1.9,0.0,1.92,4.25,5.32,4.2,9.96,0.0,9.7,726,621.0,728,681,0,663,7.5,13.29,7.31
29,NE,18.16,36.92,16.04,19.97,40.75,17.6,2003,1951,2097,26.01,33.71,25.22,12.05,22.16,11.44,4.73,11.25,4.3,2.87,7.04,2.49,2.14,4.86,2.0,3.17,5.1,2.94,10.15,8.33,10.6,722,647.0,731,600,524,626,7.88,15.17,7.01
30,NH,16.72,0.0,16.72,20.04,0.0,20.03,1674,0,1681,26.61,0.0,26.62,11.67,0.0,11.65,4.74,0.0,4.75,2.7,0.0,2.68,2.75,0.0,2.73,2.05,0.0,2.04,7.43,0.0,7.33,726,0.0,727,521,0,521,8.33,0.0,8.3
31,NJ,21.37,34.0,14.7,25.43,38.28,18.65,1379,1287,1455,27.66,34.28,24.82,13.26,20.11,9.44,5.52,8.76,4.19,3.21,5.87,2.14,3.6,5.1,3.14,2.14,2.98,1.64,11.68,12.46,10.03,711,661.0,737,529,550,505,13.62,20.12,10.26
32,NM,29.8,35.52,18.99,36.31,42.46,23.81,1761,1749,1821,31.67,34.54,25.44,20.57,23.69,15.93,6.19,7.21,4.41,6.59,8.68,3.13,3.81,5.2,1.56,7.72,9.5,3.91,10.69,10.4,10.42,670,651.0,726,798,782,844,19.56,22.02,13.64
33,NV,30.55,42.01,21.39,36.17,47.95,26.53,2132,1964,2155,32.84,38.23,28.71,21.34,26.97,17.0,7.52,10.49,5.58,5.18,8.17,3.12,2.4,4.18,1.69,9.94,13.01,6.77,19.01,20.97,16.68,672,630.0,711,959,927,1052,19.95,25.17,15.97
34,NY,20.34,28.62,15.96,22.64,30.14,18.76,1755,1686,1850,28.38,35.45,25.35,13.95,19.31,10.99,5.95,9.39,4.44,3.19,5.89,2.25,3.38,5.26,3.01,1.46,2.06,1.21,7.24,8.68,5.41,713,670.0,734,476,446,483,6.69,5.87,7.36
35,OH,26.24,51.56,22.7,32.09,57.04,28.55,1529,1606,1502,28.2,40.92,26.98,17.74,31.16,15.42,5.78,12.53,5.12,3.67,8.81,3.09,2.86,5.81,2.66,7.38,12.46,6.7,9.31,12.85,8.4,691,585.0,709,621,658,614,17.58,23.5,16.62
36,OK,32.7,53.12,29.34,38.62,60.3,35.16,2122,1901,2130,31.99,37.99,31.14,23.38,44.39,20.39,6.44,12.41,5.97,5.52,9.5,5.03,3.85,5.71,3.61,5.0,5.73,4.66,16.47,16.03,15.55,667,576.0,675,1052,1100,1032,25.0,38.61,23.06
37,OR,18.07,0.0,17.34,20.08,0.0,19.33,1540,0,1552,27.17,0.0,26.92,15.2,0.0,14.77,4.13,0.0,4.04,2.19,0.0,2.11,1.65,0.0,1.54,3.2,0.0,3.1,9.67,0.0,9.17,718,0.0,721,589,0,586,7.58,0.0,7.25
38,PA,22.44,48.66,18.74,27.12,54.51,23.26,1821,1791,1824,27.4,42.71,25.9,14.85,30.8,12.3,5.66,14.04,4.86,3.19,9.08,2.6,3.6,9.74,3.19,3.37,5.81,3.02,6.72,8.8,6.13,716,596.0,729,546,506,550,11.91,16.07,11.29
39,RI,22.38,39.56,18.44,25.0,40.79,21.32,1794,1701,1803,29.01,39.24,27.21,14.9,22.2,13.16,5.77,10.82,4.86,2.78,5.68,2.4,3.42,4.11,3.3,2.36,3.32,2.15,11.73,20.21,8.19,708,643.0,724,498,439,498,6.26,8.61,5.7
40,SC,32.72,46.32,27.74,41.31,56.1,35.88,2197,2182,2236,32.27,39.51,30.34,19.42,25.94,17.17,7.16,12.18,6.1,7.12,11.62,5.56,4.05,7.89,3.46,6.58,8.55,5.76,8.14,9.93,7.57,668,612.0,680,999,963,1033,26.54,33.58,23.83
41,SD,15.9,46.3,14.62,17.03,48.04,15.65,2201,2546,2201,26.7,37.38,26.45,10.36,22.41,10.1,4.46,10.81,4.39,2.89,16.55,2.52,2.05,0.0,2.01,3.44,4.78,3.42,14.75,0.0,14.85,725,593.0,729,621,0,614,4.48,10.0,4.2
42,TN,29.98,54.09,26.64,35.73,59.91,32.52,1947,2144,1916,30.37,43.87,28.84,18.99,28.68,17.04,6.3,13.87,5.53,5.23,10.29,4.64,3.33,8.49,2.96,5.42,10.09,4.69,15.1,21.61,13.09,675,574.0,690,949,1032,952,21.44,31.29,20.61
43,TX,32.03,40.12,23.65,40.96,49.38,32.37,2102,2086,2109,33.07,37.13,29.49,17.54,20.68,14.23,6.95,9.08,5.15,6.65,9.05,4.37,4.02,5.8,2.73,5.65,6.95,4.23,10.1,10.37,9.36,666,637.0,696,1013,1056,995,23.25,25.63,20.77
44,UT,19.3,36.75,17.95,21.91,41.14,20.59,1891,1693,1920,28.42,35.37,27.86,12.99,25.53,12.21,4.24,7.33,4.06,2.95,5.46,2.8,1.92,2.96,1.89,4.12,6.37,3.91,11.23,14.06,10.64,712,649.0,717,1001,894,1012,13.99,25.1,13.18
45,VA,24.21,36.1,20.93,28.22,41.22,24.9,1776,1861,1693,29.41,36.02,27.58,14.19,20.12,11.99,5.35,8.4,4.52,3.55,5.2,3.02,2.73,3.78,2.53,4.2,5.42,3.88,8.05,9.56,7.69,706,656.0,722,751,795,720,17.59,25.1,15.79
46,VT,15.81,0.0,15.76,18.84,0.0,18.8,1702,0,1702,26.16,0.0,26.21,10.42,0.0,10.51,4.47,0.0,4.46,2.43,0.0,2.39,2.43,0.0,2.45,0.64,0.0,0.65,15.15,0.0,15.15,727,0.0,728,487,0,487,5.54,0.0,5.54
47,WA,16.66,22.77,15.21,18.69,24.45,17.22,1794,1809,1761,27.25,30.35,26.84,12.62,15.67,11.81,4.1,6.32,3.78,2.48,3.38,2.26,1.62,2.25,1.52,5.45,7.5,4.87,9.31,10.45,8.88,725,690.0,731,637,620,616,6.12,7.26,5.67
48,WI,19.41,52.73,16.43,23.54,58.14,20.44,1854,1853,1853,24.8,40.14,24.04,13.09,29.26,11.31,3.83,11.19,3.44,2.95,9.46,2.53,1.91,4.0,1.82,4.14,10.61,3.59,9.53,10.27,9.33,729,580.0,739,1037,1066,1023,15.17,33.6,13.49
49,WV,31.6,0.0,31.46,40.45,0.0,40.31,1643,0,1634,30.93,0.0,30.79,20.62,0.0,20.51,6.98,0.0,6.91,4.17,0.0,4.14,4.03,0.0,4.0,3.77,0.0,3.77,4.92,0.0,4.93,671,0.0,672,658,0,656,27.84,0.0,27.78
50,WY,22.84,71.7,22.48,27.17,83.02,26.77,2478,0,2496,28.53,0.0,28.47,12.87,0.0,12.9,4.51,0.0,4.44,2.68,0.0,2.59,2.1,0.0,2.11,4.2,3.77,4.16,12.43,0.0,12.89,705,524.0,707,1455,0,1456,19.3,66.04,18.94
51,AK,24.23,35.06,19.28,26.88,31.82,22.38,2130,1315,2242,32.52,40.59,30.92,14.81,21.52,13.04,4.6,9.35,3.74,2.36,2.31,1.61,2.66,5.56,2.43,4.34,8.44,2.71,33.41,21.54,32.19,696,644.0,718,1271,759,1289,15.0,8.83,13.1
52,AL,32.36,50.18,27.71,37.64,56.12,32.82,1946,1966,1938,30.62,39.55,28.93,15.86,24.03,13.16,6.82,11.99,5.87,7.17,11.93,6.03,3.5,6.08,3.13,8.42,13.57,7.07,17.94,22.8,15.99,668,593.0,679,949,1049,907,19.43,27.38,17.49
53,AR,31.8,50.8,29.11,37.7,57.43,34.86,1657,1798,1629,30.04,39.08,29.06,16.86,26.89,14.99,7.14,13.46,6.66,4.91,10.28,4.39,3.21,4.45,3.08,2.83,3.91,2.64,6.99,6.47,6.3,670,593.0,675,630,618,640,19.77,22.31,19.18
54,AZ,25.32,39.79,18.04,32.13,47.2,24.33,2035,1993,2011,27.68,34.52,24.66,15.36,21.32,12.36,5.57,9.18,4.31,4.25,7.43,2.81,1.99,4.05,1.35,4.92,7.37,3.68,9.59,9.8,9.13,687,636.0,723,920,995,875,17.22,23.27,13.68
55,CA,19.99,24.08,13.62,23.98,28.35,17.26,1861,1874,1665,25.54,27.74,22.29,11.75,13.5,8.9,5.28,6.55,3.65,3.9,5.04,2.05,1.84,2.3,1.25,4.57,5.63,2.72,15.99,15.96,15.4,707,683.0,739,771,797,715,9.45,10.43,7.92
56,CO,19.57,33.47,16.01,24.3,39.89,20.25,1668,1349,1730,25.52,32.36,23.93,11.72,15.45,10.23,4.4,7.72,3.83,2.59,4.42,2.13,1.56,2.73,1.33,4.23,7.64,3.35,13.68,17.87,11.48,723,663.0,739,752,631,778,13.27,21.79,11.11
57,CT,20.59,39.69,14.12,25.47,44.91,18.6,1554,1417,1590,25.82,36.14,23.32,10.49,17.65,8.01,5.21,10.49,3.92,2.94,6.85,2.0,3.25,6.21,2.77,1.48,2.72,1.01,12.09,11.07,10.66,720,639.0,744,515,514,495,11.58,17.55,9.09
58,DC,25.16,36.89,6.31,28.07,40.45,7.76,1441,1513,955,25.75,33.24,16.29,13.82,19.14,4.17,5.87,8.99,2.05,6.31,8.19,1.27,2.5,3.53,1.71,2.57,3.79,0.39,8.71,8.06,0.0,698,655.0,759,569,601,405,8.46,11.64,2.79
59,DE,25.2,43.24,19.93,31.29,51.05,25.35,1862,1932,1738,27.22,35.89,24.8,12.66,20.99,8.9,5.7,10.79,4.57,3.91,7.05,3.1,3.16,6.26,2.66,6.03,10.29,4.66,9.58,11.86,7.82,695,626.0,720,756,910,686,17.59,30.51,14.23
60,FL,25.59,32.38,20.87,32.58,38.95,27.94,2184,2211,2149,29.18,34.68,25.7,15.06,16.75,13.45,6.83,9.57,5.23,4.23,5.84,3.23,2.95,4.16,2.32,4.76,5.65,4.05,7.75,8.82,7.03,684,661.0,713,969,965,973,17.81,19.46,16.23
61,GA,31.51,41.94,25.27,37.29,48.29,30.94,1911,1999,1835,32.41,39.36,29.22,15.91,20.1,12.63,7.66,11.79,5.71,6.25,8.91,4.77,3.27,5.23,2.56,5.85,8.0,4.55,6.57,7.53,6.18,668,628.0,687,880,841,910,18.92,22.1,17.14
62,HI,16.41,16.46,15.75,18.36,18.18,21.26,1965,1966,0,26.19,26.17,26.2,12.63,12.52,0.0,5.25,5.33,5.13,3.84,3.87,0.0,2.22,2.21,0.0,4.12,4.25,2.36,12.47,13.02,0.0,721,720.0,698,398,407,0,6.99,6.85,7.87
63,IA,18.63,42.11,17.91,22.52,41.45,21.72,1646,912,1682,23.22,30.06,22.93,11.96,0.0,11.76,4.25,10.34,4.14,2.45,0.0,2.39,1.88,0.0,1.78,2.64,2.63,2.55,6.98,0.0,7.07,728,635.0,731,597,0,596,11.31,10.53,10.93
64,ID,18.43,33.87,17.97,22.2,43.55,21.7,2142,0,2164,25.58,0.0,25.43,11.71,0.0,11.51,4.07,0.0,4.01,2.94,0.0,2.82,1.29,0.0,1.25,6.38,9.68,6.29,11.17,0.0,10.96,715,647.0,717,904,0,904,12.83,25.81,12.5
65,IL,22.44,39.55,17.02,27.8,45.39,22.23,1541,1538,1584,25.56,35.38,23.04,12.02,19.68,9.59,4.97,9.52,3.85,3.98,7.58,3.02,2.7,4.67,2.33,4.13,7.1,3.22,9.9,11.37,8.98,710,640.0,735,610,619,621,13.84,19.01,12.19
66,IN,25.87,46.27,23.24,31.38,52.94,28.62,1884,1868,1879,27.0,37.63,26.11,15.25,25.87,13.61,5.49,10.78,5.02,3.75,8.11,3.34,2.83,6.07,2.66,5.44,8.79,5.02,6.85,8.89,6.16,686,608.0,700,783,693,805,19.47,30.79,18.08
67,KS,22.7,40.7,19.59,27.55,46.97,24.24,1746,1562,1742,24.88,32.62,23.75,14.15,29.97,12.5,4.29,7.69,3.91,2.81,4.56,2.5,2.17,4.52,1.96,3.88,5.74,3.44,8.26,10.56,6.92,708,637.0,722,839,849,827,17.72,30.72,15.64
68,KY,28.78,61.14,27.28,35.49,68.73,33.99,1333,1207,1338,27.37,42.63,26.77,16.88,30.83,16.41,5.96,16.28,5.71,4.55,10.08,4.37,3.03,4.59,2.92,5.06,7.34,4.85,6.05,4.49,6.06,675,552.0,679,506,584,500,19.18,40.02,18.45
69,LA,34.09,47.26,28.54,41.97,56.0,36.15,1902,1897,1921,31.35,37.65,29.25,16.85,20.73,14.51,7.1,10.49,5.95,6.73,9.95,5.38,4.38,7.41,3.59,6.5,9.24,5.27,17.68,21.25,14.95,664,606.0,677,854,806,893,23.38,28.1,21.28
70,MA,16.43,32.28,13.24,19.14,35.78,15.9,1580,1500,1637,23.29,33.95,21.83,8.55,14.86,7.24,4.74,9.21,3.93,2.4,5.62,1.91,2.14,4.15,2.03,1.48,3.63,1.12,11.16,11.41,11.73,733,661.0,745,386,416,370,4.44,6.26,4.08
71,MD,24.19,33.36,17.98,28.32,38.05,21.73,1594,1707,1451,28.81,35.49,25.27,13.06,16.23,9.99,6.28,9.07,4.77,4.03,5.91,2.87,3.23,5.15,2.41,3.5,4.96,2.6,6.9,7.96,5.39,698,662.0,732,510,549,468,13.28,17.04,10.82
72,ME,20.87,0.0,20.85,27.85,0.0,27.83,1717,0,1720,25.79,0.0,25.78,10.37,0.0,10.24,4.84,0.0,4.83,2.1,0.0,2.12,2.92,0.0,2.93,3.08,0.0,3.09,5.38,0.0,5.44,714,0.0,714,877,0,885,18.89,0.0,18.9
