observation_date,MANEMP
1979-12-01,19301
1980-01-01,19282
1980-02-01,19219
1980-03-01,19217
1980-04-01,18973
1980-05-01,18726
1980-06-01,18490
1980-07-01,18276
1980-08-01,18414
1980-09-01,18445
1980-10-01,18506
1980-11-01,18601
1980-12-01,18640
1981-01-01,18639
1981-02-01,18613
1981-03-01,18647
1981-04-01,18711
1981-05-01,18766
1981-06-01,18789
1981-07-01,18785
1981-08-01,18748
1981-09-01,18712
1981-10-01,18566
1981-11-01,18409
1981-12-01,18223
1982-01-01,18047
1982-02-01,17981
1982-03-01,17857
1982-04-01,17683
1982-05-01,17588
1982-06-01,17430
1982-07-01,17278
1982-08-01,17160
1982-09-01,17074
1982-10-01,16853
1982-11-01,16722
1982-12-01,16690
1983-01-01,16705
1983-02-01,16706
1983-03-01,16711
1983-04-01,16794
1983-05-01,16885
1983-06-01,16960
1983-07-01,17059
1983-08-01,17118
1983-09-01,17255
1983-10-01,17367
1983-11-01,17479
1983-12-01,17551
1984-01-01,17630
1984-02-01,17728
1984-03-01,17806
1984-04-01,17872
1984-05-01,17916
1984-06-01,17967
1984-07-01,18013
1984-08-01,18034
1984-09-01,18019
1984-10-01,18024
1984-11-01,18016
1984-12-01,18023
1985-01-01,18009
1985-02-01,17966
1985-03-01,17939
1985-04-01,17886
1985-05-01,17855
1985-06-01,17819
1985-07-01,17776
1985-08-01,17756
1985-09-01,17718
1985-10-01,17708
1985-11-01,17697
1985-12-01,17693
1986-01-01,17686
1986-02-01,17663
1986-03-01,17624
1986-04-01,17616
1986-05-01,17593
1986-06-01,17530
1986-07-01,17497
1986-08-01,17489
1986-09-01,17498
1986-10-01,17477
1986-11-01,17472
1986-12-01,17478
1987-01-01,17465
1987-02-01,17499
1987-03-01,17507
1987-04-01,17525
1987-05-01,17542
1987-06-01,17537
1987-07-01,17593
1987-08-01,17630
1987-09-01,17691
1987-10-01,17729
1987-11-01,17775
1987-12-01,17809
1988-01-01,17790
1988-02-01,17823
1988-03-01,17844
1988-04-01,17874
1988-05-01,17892
1988-06-01,17916
1988-07-01,17926
1988-08-01,17891
1988-09-01,17914
1988-10-01,17966
1988-11-01,18003
1988-12-01,18025
1989-01-01,18057
1989-02-01,18055
1989-03-01,18060
1989-04-01,18055
1989-05-01,18040
1989-06-01,18013
1989-07-01,17980
1989-08-01,17964
1989-09-01,17922
1989-10-01,17895
1989-11-01,17886
1989-12-01,17881
1990-01-01,17797
1990-02-01,17893
1990-03-01,17868
1990-04-01,17845
1990-05-01,17797
1990-06-01,17776
1990-07-01,17704
1990-08-01,17649
1990-09-01,17609
1990-10-01,17577
1990-11-01,17428
1990-12-01,17395
1991-01-01,17330
1991-02-01,17211
1991-03-01,17140
1991-04-01,17093
1991-05-01,17070
1991-06-01,17044
1991-07-01,17015
1991-08-01,17025
1991-09-01,17010
1991-10-01,16999
1991-11-01,16961
1991-12-01,16916
1992-01-01,16839
1992-02-01,16829
1992-03-01,16805
1992-04-01,16831
1992-05-01,16835
1992-06-01,16826
1992-07-01,16819
1992-08-01,16783
1992-09-01,16761
1992-10-01,16751
1992-11-01,16758
1992-12-01,16769
1993-01-01,16791
1993-02-01,16805
1993-03-01,16795
1993-04-01,16772
1993-05-01,16766
1993-06-01,16742
1993-07-01,16739
1993-08-01,16741
1993-09-01,16769
1993-10-01,16778
1993-11-01,16800
1993-12-01,16815
1994-01-01,16855
1994-02-01,16862
1994-03-01,16897
1994-04-01,16933
1994-05-01,16962
1994-06-01,17010
1994-07-01,17026
1994-08-01,17081
1994-09-01,17115
1994-10-01,17144
1994-11-01,17186
1994-12-01,17217
1995-01-01,17262
1995-02-01,17265
1995-03-01,17263
1995-04-01,17278
1995-05-01,17259
1995-06-01,17247
1995-07-01,17218
1995-08-01,17240
1995-09-01,17247
1995-10-01,17216
1995-11-01,17209
1995-12-01,17231
1996-01-01,17208
1996-02-01,17229
1996-03-01,17193
1996-04-01,17204
1996-05-01,17222
1996-06-01,17226
1996-07-01,17223
1996-08-01,17255
1996-09-01,17252
1996-10-01,17268
1996-11-01,17277
1996-12-01,17284
1997-01-01,17297
1997-02-01,17316
1997-03-01,17340
1997-04-01,17349
1997-05-01,17362
1997-06-01,17387
1997-07-01,17389
1997-08-01,17452
1997-09-01,17465
1997-10-01,17513
1997-11-01,17556
1997-12-01,17588
1998-01-01,17619
1998-02-01,17627
1998-03-01,17637
1998-04-01,17637
1998-05-01,17624
1998-06-01,17608
1998-07-01,17422
1998-08-01,17563
1998-09-01,17557
1998-10-01,17512
1998-11-01,17465
1998-12-01,17449
1999-01-01,17427
1999-02-01,17395
1999-03-01,17368
1999-04-01,17344
1999-05-01,17333
1999-06-01,17295
1999-07-01,17308
1999-08-01,17287
1999-09-01,17281
1999-10-01,17272
1999-11-01,17282
1999-12-01,17280
2000-01-01,17284
2000-02-01,17285
2000-03-01,17302
2000-04-01,17298
2000-05-01,17279
2000-06-01,17296
2000-07-01,17322
2000-08-01,17287
2000-09-01,17230
2000-10-01,17217
2000-11-01,17202
2000-12-01,17181
2001-01-01,17104
2001-02-01,17028
2001-03-01,16938
2001-04-01,16802
2001-05-01,16661
2001-06-01,16515
2001-07-01,16382
2001-08-01,16232
2001-09-01,16117
2001-10-01,15972
2001-11-01,15825
2001-12-01,15711
2002-01-01,15587
2002-02-01,15515
2002-03-01,15443
2002-04-01,15392
2002-05-01,15337
2002-06-01,15298
2002-07-01,15256
2002-08-01,15171
2002-09-01,15119
2002-10-01,15060
2002-11-01,14992
2002-12-01,14912
2003-01-01,14866
2003-02-01,14781
2003-03-01,14721
2003-04-01,14609
2003-05-01,14557
2003-06-01,14493
2003-07-01,14402
2003-08-01,14376
2003-09-01,14347
2003-10-01,14334
2003-11-01,14316
2003-12-01,14300
2004-01-01,14290
2004-02-01,14279
2004-03-01,14287
2004-04-01,14315
2004-05-01,14342
2004-06-01,14332
2004-07-01,14330
2004-08-01,14345
2004-09-01,14331
2004-10-01,14332
2004-11-01,14307
2004-12-01,14287
2005-01-01,14257
2005-02-01,14273
2005-03-01,14269
2005-04-01,14250
2005-05-01,14256
2005-06-01,14227
2005-07-01,14226
2005-08-01,14203
2005-09-01,14175
2005-10-01,14192
2005-11-01,14187
2005-12-01,14193
2006-01-01,14210
2006-02-01,14209
2006-03-01,14214
2006-04-01,14226
2006-05-01,14203
2006-06-01,14213
2006-07-01,14188
2006-08-01,14159
2006-09-01,14125
2006-10-01,14075
2006-11-01,14041
2006-12-01,14015
2007-01-01,14008
2007-02-01,13997
2007-03-01,13970
2007-04-01,13945
2007-05-01,13929
2007-06-01,13911
2007-07-01,13889
2007-08-01,13828
2007-09-01,13790
2007-10-01,13764
2007-11-01,13757
2007-12-01,13746
2008-01-01,13725
2008-02-01,13696
2008-03-01,13659
2008-04-01,13599
2008-05-01,13564
2008-06-01,13504
2008-07-01,13430
2008-08-01,13358
2008-09-01,13275
2008-10-01,13147
2008-11-01,13034
2008-12-01,12850
2009-01-01,12561
2009-02-01,12380
2009-03-01,12208
2009-04-01,12030
2009-05-01,11862
2009-06-01,11726
2009-07-01,11668
2009-08-01,11626
2009-09-01,11591
2009-10-01,11538
2009-11-01,11509
2009-12-01,11475
2010-01-01,11460
2010-02-01,11453
2010-03-01,11453
2010-04-01,11489
2010-05-01,11525
2010-06-01,11545
2010-07-01,11561
2010-08-01,11553
2010-09-01,11563
2010-10-01,11562
2010-11-01,11585
2010-12-01,11595
2011-01-01,11621
2011-02-01,11654
2011-03-01,11675
2011-04-01,11704
2011-05-01,11713
2011-06-01,11727
2011-07-01,11746
2011-08-01,11764
2011-09-01,11769
2011-10-01,11780
2011-11-01,11770
2011-12-01,11802
2012-01-01,11838
2012-02-01,11860
2012-03-01,11898
2012-04-01,11916
2012-05-01,11927
2012-06-01,11936
2012-07-01,11964
2012-08-01,11960
2012-09-01,11954
2012-10-01,11961
2012-11-01,11950
2012-12-01,11960
2013-01-01,11983
2013-02-01,11996
2013-03-01,11999
2013-04-01,12000
2013-05-01,12000
2013-06-01,12004
2013-07-01,11984
2013-08-01,12014
2013-09-01,12032
2013-10-01,12056
2013-11-01,12079
2013-12-01,12083
2014-01-01,12081
2014-02-01,12106
2014-03-01,12120
2014-04-01,12134
2014-05-01,12146
2014-06-01,12170
2014-07-01,12189
2014-08-01,12208
2014-09-01,12226
2014-10-01,12259
2014-11-01,12284
2014-12-01,12292
2015-01-01,12292
2015-02-01,12301
2015-03-01,12312
2015-04-01,12318
2015-05-01,12333
2015-06-01,12334
2015-07-01,12349
2015-08-01,12345
2015-09-01,12354
2015-10-01,12362
2015-11-01,12357
2015-12-01,12362
2016-01-01,12383
2016-02-01,12365
2016-03-01,12342
2016-04-01,12353
2016-05-01,12332
2016-06-01,12350
2016-07-01,12372
2016-08-01,12348
2016-09-01,12347
2016-10-01,12345
2016-11-01,12342
2016-12-01,12355
2017-01-01,12366
2017-02-01,12380
2017-03-01,12393
2017-04-01,12400
2017-05-01,12409
2017-06-01,12422
2017-07-01,12423
2017-08-01,12467
2017-09-01,12477
2017-10-01,12490
2017-11-01,12505
2017-12-01,12533
2018-01-01,12556
2018-02-01,12582
2018-03-01,12608
2018-04-01,12632
2018-05-01,12661
2018-06-01,12693
2018-07-01,12714
2018-08-01,12724
2018-09-01,12743
2018-10-01,12762
2018-11-01,12774
2018-12-01,12793
2019-01-01,12822
2019-02-01,12821
2019-03-01,12819
2019-04-01,12824
2019-05-01,12821
2019-06-01,12829
2019-07-01,12832
2019-08-01,12827
2019-09-01,12820
2019-10-01,12764
2019-11-01,12812
2019-12-01,12795
2020-01-01,12784
2020-02-01,12785
2020-03-01,12717
2020-04-01,11423
2020-05-01,11656
2020-06-01,11990
2020-07-01,12025
2020-08-01,12050
2020-09-01,12095
2020-10-01,12122
2020-11-01,12157
2020-12-01,12190
2021-01-01,12184
2021-02-01,12222
2021-03-01,12268
2021-04-01,12240
2021-05-01,12268
2021-06-01,12288
2021-07-01,12350
2021-08-01,12391
2021-09-01,12413
2021-10-01,12466
2021-11-01,12514
2021-12-01,12555
2022-01-01,12581
2022-02-01,12631
2022-03-01,12689
2022-04-01,12750
2022-05-01,12769
2022-06-01,12794
2022-07-01,12831
2022-08-01,12858
2022-09-01,12880